catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,raw_condition,applies_status,predicate_count,normalized_predicates_json,confirmation_questions_json,audit_flags,normalization_confidence,runtime_status,source_page
21,十、酒、饮料和精制茶制造业15,酒的制造151,151,SIMPLIFIED,有发酵工艺的年生产能力5000 千升 以下的白酒、啤酒、黄酒、葡萄酒、 其他酒制造﹡,ELSE_CONDITION,5,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""fermentation_process"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""有发酵工艺"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""threshold"", ""metric"": ""annual_production_capacity"", ""operator"": ""lt"", ""value"": 5000, ""unit"": ""kiloliter_per_year"", ""inclusive"": false, ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""有发酵工艺的年生产能力5000千升以下"", ""metric_source_keyword"": ""年生产能力"", ""metric_inference"": ""DIRECT_PREFIX"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""5000"", ""token_class"": ""threshold_or_capacity_number"", ""operator"": ""covered_by_threshold_predicate"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""HIGH"", ""raw_fragment"": ""工艺的年生产能力5000千升以下的白酒、""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？"", ""请确认 annual_production_capacity 对应的实际规模/用量/产能，并提供证据。"", ""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
21,十、酒、饮料和精制茶制造业15,酒的制造151,151,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
22,十、酒、饮料和精制茶制造业15,饮料制造152,152,KEY,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,6
22,十、酒、饮料和精制茶制造业15,饮料制造152,152,SIMPLIFIED,有发酵工艺或者原汁生产的﹡,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""fermentation_process"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""有发酵工艺"", ""confidence"": ""MEDIUM""}]","[""是否属于注1所限定的工业建筑中生产的排污单位？"", ""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",asterisk_footnote_requires_industrial_building_condition,HIGH,DRAFT_NOT_FOR_RUNTIME,6
22,十、酒、饮料和精制茶制造业15,饮料制造152,152,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
23,十、酒、饮料和精制茶制造业15,精制茶加工153,153,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
23,十、酒、饮料和精制茶制造业15,精制茶加工153,153,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
23,十、酒、饮料和精制茶制造业15,精制茶加工153,153,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
24,十一、烟草制品业16,"烟叶复烤161，卷烟制造162，其他烟
草制品制造169",161;162;169,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
24,十一、烟草制品业16,"烟叶复烤161，卷烟制造162，其他烟
草制品制造169",161;162;169,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
24,十一、烟草制品业16,"烟叶复烤161，卷烟制造162，其他烟
草制品制造169",161;162;169,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
25,十二、纺织业17,"棉纺织及印染精加工171，毛纺织及染
整精加工172，麻纺织及染整精加工
173，丝绢纺织及印染精加工174，化
纤织造及印染精加工175",171;172;173;174;175,KEY,有前处理、染色、印花、洗毛、麻脱 胶、缫丝或者喷水织造工序的,APPLIES_IF_CONDITION_MET,7,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""pretreatment_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""有前处理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""dyeing_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""染色"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""printing_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""印花"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""wool_washing_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""洗毛"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""hemp_degumming_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""麻脱胶"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""silk_reeling_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""缫丝"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""water_jet_weaving_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""喷水织造"", ""confidence"": ""MEDIUM""}]","[""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",,HIGH,DRAFT_NOT_FOR_RUNTIME,7
25,十二、纺织业17,"棉纺织及印染精加工171，毛纺织及染
整精加工172，麻纺织及染整精加工
173，丝绢纺织及印染精加工174，化
纤织造及印染精加工175",171;172;173;174;175,SIMPLIFIED,仅含整理工序的,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
25,十二、纺织业17,"棉纺织及印染精加工171，毛纺织及染
整精加工172，麻纺织及染整精加工
173，丝绢纺织及印染精加工174，化
纤织造及印染精加工175",171;172;173;174;175,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
26,十二、纺织业17,"针织或钩针编织物及其制品制造176，
家用纺织制成品制造177，产业用纺织
制成品制造178",176;177;178,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
26,十二、纺织业17,"针织或钩针编织物及其制品制造176，
家用纺织制成品制造177，产业用纺织
制成品制造178",176;177;178,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
26,十二、纺织业17,"针织或钩针编织物及其制品制造176，
家用纺织制成品制造177，产业用纺织
制成品制造178",176;177;178,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
27,十三、纺织服装、服饰业18,机织服装制造181，服饰制造183,181;183,KEY,有水洗工序、湿法印花、染色工艺的,APPLIES_IF_CONDITION_MET,3,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""washing_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""有水洗工序"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""dyeing_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""染色"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""printing_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""印花"", ""confidence"": ""MEDIUM""}]","[""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",,HIGH,DRAFT_NOT_FOR_RUNTIME,7
27,十三、纺织服装、服饰业18,机织服装制造181，服饰制造183,181;183,SIMPLIFIED,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,7
27,十三、纺织服装、服饰业18,机织服装制造181，服饰制造183,181;183,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
28,十三、纺织服装、服饰业18,针织或钩针编织服装制造182,182,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
28,十三、纺织服装、服饰业18,针织或钩针编织服装制造182,182,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
28,十三、纺织服装、服饰业18,针织或钩针编织服装制造182,182,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
29,十四、皮革、毛皮、羽毛及其制品和制鞋业19,"皮革鞣制加工191，毛皮鞣制及制品加
工193",191;193,KEY,有鞣制工序的,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""tanning_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""有鞣制工序"", ""confidence"": ""MEDIUM""}]","[""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",,HIGH,DRAFT_NOT_FOR_RUNTIME,7
29,十四、皮革、毛皮、羽毛及其制品和制鞋业19,"皮革鞣制加工191，毛皮鞣制及制品加
工193",191;193,SIMPLIFIED,皮革鞣制加工191（无鞣制工序的）,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""no_tanning_process"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""无鞣制工序"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""191"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""SIMPLIFIED"", ""confidence"": ""LOW"", ""raw_fragment"": ""皮革鞣制加工191（无鞣制工序的）""}]","[""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,7
29,十四、皮革、毛皮、羽毛及其制品和制鞋业19,"皮革鞣制加工191，毛皮鞣制及制品加
工193",191;193,REGISTRATION,毛皮鞣制及制品加工193（无鞣制工序 的）,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""no_tanning_process"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""无鞣制工序"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""193"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""皮鞣制及制品加工193（无鞣制工序的）""}]","[""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,7
30,十四、皮革、毛皮、羽毛及其制品和制鞋业19,皮革制品制造192,192,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
30,十四、皮革、毛皮、羽毛及其制品和制鞋业19,皮革制品制造192,192,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
30,十四、皮革、毛皮、羽毛及其制品和制鞋业19,皮革制品制造192,192,REGISTRATION,其他﹡,ELSE_CONDITION,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？"", ""是否属于注1所限定的工业建筑中生产的排污单位？""]",else_condition_requires_peer_condition_exclusion;asterisk_footnote_requires_industrial_building_condition,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
31,十四、皮革、毛皮、羽毛及其制品和制鞋业19,羽毛(绒)加工及制品制造194,194,KEY,羽毛（绒）加工1941（有水洗工序的）,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""washing_process"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""有水洗工序"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""1941"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""KEY"", ""confidence"": ""LOW"", ""raw_fragment"": ""羽毛（绒）加工1941（有水洗工序的）""}]","[""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,7
31,十四、皮革、毛皮、羽毛及其制品和制鞋业19,羽毛(绒)加工及制品制造194,194,SIMPLIFIED,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,7
31,十四、皮革、毛皮、羽毛及其制品和制鞋业19,羽毛(绒)加工及制品制造194,194,REGISTRATION,羽毛（绒）加工1941（无水洗工序的） ﹡，羽毛（绒）制品制造1942﹡,APPLIES_IF_CONDITION_MET,4,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""industrial_building_footnote"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""﹡"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""no_washing_process"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""无水洗工序"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""1941"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""羽毛（绒）加工1941（无水洗工序的）""}, {""predicate_type"": ""numeric_condition_token"", ""token"": ""1942"", ""token_class"": ""industry_code_reference_candidate"", ""operator"": ""review_industry_code_scope"", ""target_management"": ""REGISTRATION"", ""confidence"": ""LOW"", ""raw_fragment"": ""毛（绒）制品制造1942﹡""}]","[""是否属于注1所限定的工业建筑中生产的排污单位？"", ""是否存在对应的染色、印花、水洗、鞣制或发酵工序？""]",asterisk_footnote_requires_industrial_building_condition;condition_contains_industry_code_candidate_review_needed,LOW,DRAFT_NOT_FOR_RUNTIME,7
32,十四、皮革、毛皮、羽毛及其制品和制鞋业19,制鞋业195,195,KEY,纳入重点排污单位名录的,APPLIES_IF_CONDITION_MET,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""dynamic_key_pollutant_unit_list"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""纳入重点排污单位名录"", ""confidence"": ""MEDIUM""}]","[""是否被纳入重点排污单位名录？""]",requires_external_key_pollutant_unit_list,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
